DomainName,EnumerantValue,EnumerantDefinition
ZI020_GE4,ge:GENC:3:1-2:GUY,GUYANA AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:1-2:HKG,HONG KONG AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:1-2:HMD,HEARD ISLAND AND MCDONALD ISLANDS AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:1-2:HND,HONDURAS AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:1-2:HRV,CROATIA AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:1-2:HTI,HAITI AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:1-2:IDN,INDONESIA AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:1-2:IND,INDIA AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:1-2:IOT,BRITISH INDIAN OCEAN TERRITORY AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:1-2:IRN,IRAN AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:1-2:IRQ,IRAQ AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:1-2:ISL,ICELAND AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:1-2:ISR,ISRAEL AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:1-2:ITA,ITALY AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:1-2:JEY,JERSEY AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:1-2:JOR,JORDAN AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:1-2:KAZ,KAZAKHSTAN AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:1-2:KEN,KENYA AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:1-2:KGZ,KYRGYZSTAN AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:1-2:KHM,CAMBODIA AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:1-2:KIR,KIRIBATI AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:1-2:KNA,SAINT KITTS AND NEVIS AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:1-2:KOR,"KOREA, SOUTH AS OF 2013-06-30"
ZI020_GE4,ge:GENC:3:1-2:KWT,KUWAIT AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:1-2:LAO,LAOS AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:1-2:LBN,LEBANON AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:1-2:LBR,LIBERIA AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:1-2:LIE,LIECHTENSTEIN AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:1-2:LKA,SRI LANKA AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:1-2:LSO,LESOTHO AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:1-2:LTU,LITHUANIA AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:1-2:LUX,LUXEMBOURG AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:1-2:LVA,LATVIA AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:1-2:MAC,MACAU AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:1-2:MAF,SAINT MARTIN AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:1-2:MAR,MOROCCO AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:1-2:MCO,MONACO AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:1-2:MDA,MOLDOVA AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:1-2:MDG,MADAGASCAR AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:1-2:MDV,MALDIVES AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:1-2:MEX,MEXICO AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:1-2:MHL,MARSHALL ISLANDS AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:1-2:MKD,MACEDONIA AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:1-2:MLI,MALI AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:1-2:MLT,MALTA AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:1-2:MMR,BURMA AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:1-2:MNG,MONGOLIA AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:1-2:MNP,NORTHERN MARIANA ISLANDS AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:1-2:MOZ,MOZAMBIQUE AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:1-2:MRT,MAURITANIA AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:1-2:MTQ,MARTINIQUE AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:1-2:MUS,MAURITIUS AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:1-2:MWI,MALAWI AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:1-2:MYS,MALAYSIA AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:1-2:MYT,MAYOTTE AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:1-2:NAM,NAMIBIA AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:1-2:NCL,NEW CALEDONIA AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:1-2:NER,NIGER AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:1-2:NFK,NORFOLK ISLAND AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:1-2:NGA,NIGERIA AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:1-2:NIC,NICARAGUA AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:1-2:NLD,NETHERLANDS AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:1-2:NOR,NORWAY AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:1-2:NPL,NEPAL AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:1-2:NRU,NAURU AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:1-2:NZL,NEW ZEALAND AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:1-2:OMN,OMAN AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:1-2:PAK,PAKISTAN AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:1-2:PAN,PANAMA AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:1-2:PCN,PITCAIRN ISLANDS AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:1-2:PER,PERU AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:1-2:PHL,PHILIPPINES AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:1-2:PLW,PALAU AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:1-2:POL,POLAND AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:1-2:PRI,PUERTO RICO AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:1-2:PRK,"KOREA, NORTH AS OF 2013-06-30"
ZI020_GE4,ge:GENC:3:1-2:PRT,PORTUGAL AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:1-2:PRY,PARAGUAY AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:1-2:PSE,PALESTINIAN TERRITORY AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:1-2:PYF,FRENCH POLYNESIA AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:1-2:QAT,QATAR AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:1-2:REU,REUNION AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:1-2:RUS,RUSSIA AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:1-2:RWA,RWANDA AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:1-2:SAU,SAUDI ARABIA AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:1-2:SDN,SUDAN AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:1-2:SEN,SENEGAL AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:1-2:SGP,SINGAPORE AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:1-2:SGS,SOUTH GEORGIA AND SOUTH SANDWICH ISLANDS AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:1-2:SHN,"SAINT HELENA, ASCENSION, AND TRISTAN DA CUNHA AS OF 2013-06-30"
ZI020_GE4,ge:GENC:3:1-2:SLB,SOLOMON ISLANDS AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:1-2:SLE,SIERRA LEONE AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:1-2:SLV,EL SALVADOR AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:1-2:SMR,SAN MARINO AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:1-2:SOM,SOMALIA AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:1-2:SPM,SAINT PIERRE AND MIQUELON AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:1-2:SRB,SERBIA AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:1-2:SSD,SOUTH SUDAN AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:1-2:STP,SAO TOME AND PRINCIPE AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:1-2:SUR,SURINAME AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:1-2:SVK,SLOVAKIA AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:1-2:SVN,SLOVENIA AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:1-2:SWE,SWEDEN AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:1-2:SWZ,SWAZILAND AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:1-2:SXM,SINT MAARTEN AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:1-2:SYC,SEYCHELLES AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:1-2:SYR,SYRIA AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:1-2:TCA,TURKS AND CAICOS ISLANDS AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:1-2:TCD,CHAD AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:1-2:TGO,TOGO AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:1-2:THA,THAILAND AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:1-2:TJK,TAJIKISTAN AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:1-2:TLS,TIMOR-LESTE AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:1-2:TON,TONGA AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:1-2:TTO,TRINIDAD AND TOBAGO AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:1-2:TUN,TUNISIA AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:1-2:TUR,TURKEY AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:1-2:TWN,TAIWAN AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:1-2:TZA,TANZANIA AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:1-2:UGA,UGANDA AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:1-2:UKR,UKRAINE AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:1-2:URY,URUGUAY AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:1-2:USA,UNITED STATES AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:1-2:UZB,UZBEKISTAN AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:1-2:VAT,VATICAN CITY AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:1-2:VCT,SAINT VINCENT AND THE GRENADINES AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:1-2:VEN,VENEZUELA AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:1-2:VGB,"VIRGIN ISLANDS, BRITISH AS OF 2013-06-30"
ZI020_GE4,ge:GENC:3:1-2:VIR,"VIRGIN ISLANDS, U.S. AS OF 2013-06-30"
ZI020_GE4,ge:GENC:3:1-2:VNM,VIETNAM AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:1-2:VUT,VANUATU AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:1-2:WLF,WALLIS AND FUTUNA AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:1-2:WSM,SAMOA AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:1-2:XAC,ASHMORE AND CARTIER ISLANDS AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:1-2:XAZ,ENTITY 1 AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:1-2:XBI,BASSAS DA INDIA AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:1-2:XBK,BAKER ISLAND AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:1-2:XCR,ENTITY 2 AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:1-2:XCS,CORAL SEA ISLANDS AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:1-2:XCY,ENTITY 3 AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:1-2:XEU,EUROPA ISLAND AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:1-2:XGL,GLORIOSO ISLANDS AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:1-2:XGZ,GAZA STRIP AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:1-2:XHO,HOWLAND ISLAND AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:1-2:XJA,JOHNSTON ATOLL AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:1-2:XJM,JAN MAYEN AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:1-2:XJN,JUAN DE NOVA ISLAND AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:1-2:XJV,JARVIS ISLAND AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:1-2:XKM,ENTITY 4 AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:1-2:XKN,ENTITY 5 AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:1-2:XKR,KINGMAN REEF AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:1-2:XKS,KOSOVO AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:1-2:XMW,MIDWAY ISLANDS AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:1-2:XNV,NAVASSA ISLAND AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:1-2:XPL,PALMYRA ATOLL AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:1-2:XPR,PARACEL ISLANDS AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:1-2:XQP,"ETOROFU, HABOMAI, KUNASHIRI, AND SHIKOTAN ISLANDS AS OF 2013-06-30"
ZI020_GE4,ge:GENC:3:1-2:XQZ,AKROTIRI AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:1-2:XSP,SPRATLY ISLANDS AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:1-2:XSV,SVALBARD AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:1-2:XTR,TROMELIN ISLAND AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:1-2:XWB,WEST BANK AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:1-2:XWK,WAKE ISLAND AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:1-2:XXD,DHEKELIA AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:1-2:XXX,"NO MAN""S LAND AS OF 2013-06-30"
ZI020_GE4,ge:GENC:3:1-2:YEM,YEMEN AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:1-2:ZAF,SOUTH AFRICA AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:1-2:ZMB,ZAMBIA AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:1-2:ZWE,ZIMBABWE AS OF 2013-06-30
ZI020_GE4,ge:GENC:3:ed3:AX3,ENTITY 6 AS OF 2015-06-30
ZI020_GE4,ge:ISO1:3:VI-15:AIA,ANGUILLA AS OF 2013-05-10
ZI020_GE4,ge:ISO1:3:VI-15:ATA,ANTARCTICA AS OF 2013-05-10
ZI020_GE4,ge:ISO1:3:VI-15:BIH,BOSNIA AND HERZEGOVINA AS OF 2013-05-10
ZI020_GE4,ge:ISO1:3:VI-15:BLZ,BELIZE AS OF 2013-05-10
ZI020_GE4,ge:ISO1:3:VI-15:BMU,BERMUDA AS OF 2013-05-10
ZI020_GE4,ge:ISO1:3:VI-15:BRB,BARBADOS AS OF 2013-05-10
ZI020_GE4,ge:ISO1:3:VI-15:BVT,BOUVET ISLAND AS OF 2013-05-10
ZI020_GE4,ge:ISO1:3:VI-15:GIB,GIBRALTAR AS OF 2013-05-10
ZI020_GE4,ge:ISO1:3:VI-15:GRD,GRENADA AS OF 2013-05-10
ZI020_GE4,ge:ISO1:3:VI-15:GRL,GREENLAND AS OF 2013-05-10
ZI020_GE4,ge:ISO1:3:VI-15:HUN,HUNGARY AS OF 2013-05-10
ZI020_GE4,ge:ISO1:3:VI-15:IMN,ISLE OF MAN AS OF 2013-05-10
ZI020_GE4,ge:ISO1:3:VI-15:IRL,IRELAND AS OF 2013-05-10
ZI020_GE4,ge:ISO1:3:VI-15:JAM,JAMAICA AS OF 2013-05-10
ZI020_GE4,ge:ISO1:3:VI-15:JPN,JAPAN AS OF 2013-05-10
ZI020_GE4,ge:ISO1:3:VI-15:LBY,LIBYA AS OF 2013-05-10
ZI020_GE4,ge:ISO1:3:VI-15:LCA,SAINT LUCIA AS OF 2013-05-10
ZI020_GE4,ge:ISO1:3:VI-15:MNE,MONTENEGRO AS OF 2013-05-10
ZI020_GE4,ge:ISO1:3:VI-15:MSR,MONTSERRAT AS OF 2013-05-10
ZI020_GE4,ge:ISO1:3:VI-15:NIU,NIUE AS OF 2013-05-10
ZI020_GE4,ge:ISO1:3:VI-15:PNG,PAPUA NEW GUINEA AS OF 2013-05-10
ZI020_GE4,ge:ISO1:3:VI-15:ROU,ROMANIA AS OF 2013-05-10
ZI020_GE4,ge:ISO1:3:VI-15:TKL,TOKELAU AS OF 2013-05-10
ZI020_GE4,ge:ISO1:3:VI-15:TKM,TURKMENISTAN AS OF 2013-05-10
ZI020_GE4,ge:ISO1:3:VI-15:TUV,TUVALU AS OF 2013-05-10
ZI020_GE4,noInformation,No Information
ZI020_GE4,other,Other
,,
AL013,Building & Fortidfied Building,
AL013,-999999 = noInformation,"There is no information specified regarding the attribute value. [Description] Depending on the nature and quality of available source, the state of the data collection/update process, and other conditions, it may not be possible to populate a value due to lack of knowledge. The reasons for the lack of a value may include, but are not limited to, the following: not populated (for example: the data store has been initialized but not yet populated); unknown (for example: an attempt was made to determine the value but the source materials were inadequate); missing (for example: a determination was attempted and despite source materials being adequate the attempt failed); withheld (for example: a determination was successful but for policy reasons the value was not retained/stored)."
AL013,999 = Other,"The attribute value is known, but is not currently a valid member of the attribute range. [Description] The actual value may have been previously, or may become in the future, a valid member of the attribute range."
AL013,2 = Agriculture,"The production of crops and/or animals. [Description] "
AL013,3 = Growing of Crops,"The growing of all crops (for example: wheat, rice or tomatoes), except aquatic crops. [Description] Includes the growing of both non-perennial crops (plants that do not last for more than two growing seasons; for example: cereals, vegetables, or tobacco) and perennial crops, (plants that lasts for more than two growing seasons, either dying back after each season or growing continuously; for example: grapes, citrus fruits, or nuts)."
AL013,9 = Raising of Animals,"The raising and breeding of all animals (for example: cattle, sheep, or pigs), except aquatic animals. [Description] "
AL013,14 = Grazing,"The regular consumption of part of one organism (for example: grass) by another organism (for example: livestock) without killing it. [Description] Animal grazing areas are usually dominated by grasses (for example: prairies, savannas and steppes), and common grazing herbivores include: antelope, bison, buffalo, cattle, elephants, goats, horses, rabbits, and sheep."
AL013,15 = Mixed Farming,"The combined production of crops and animals without a specialized production of either crops or animals. [Description] The size of the overall farming operation is not a determining factor. If either production of crops or animals exceeds 66 per cent or more of the overall economic value of the activity, the combined activity should not be included here, but allocated to crop or animal farming."
AL013,19 = Hunting,"Pursuing animals to capture or kill them for food, blood sport, or trade in their products. [Description] Includes, for example: hunting and trapping on a commercial basis; taking of animals (dead or alive) for food, fur, skin, or for use in research, in zoos or as pets; production of fur skins, reptile or bird skins from hunting or trapping activities; and land-based catching of sea mammals such as walrus and seal."
AL013,20 = Forestry and/or Logging,"The production of roundwood for the forest-based manufacturing industries as well as the extraction and gathering of wild growing non-wood forest products. [Description] Besides the production of timber, forestry activities result in products that undergo little processing, such as firewood, charcoal, wood chips and roundwood used in an unprocessed form (for example: as mine pit-props or for pulpwood). These activities can be carried out in natural or planted forests."
AL013,21 = Silviculture,"Controlling the establishment, growth, composition, health, and quality of forests to meet diverse needs and values of landowners and society on a sustainable basis. [Description] Includes, for example: growing of standing timber (for example: planting, replanting, transplanting, thinning and conserving of forests and timber tracts); growing of coppice, pulpwood and fire wood; and operation of forest tree nurseries. These activities can be carried out in natural or planted forests."
AL013,27 = Forest Warden,"Manages and protects (for example: against fire) an area of forest and/or other natural region. [Description] "
AL013,30 = Fishing,"Hunting, collecting and gathering activities directed at removing or collecting live wild aquatic organisms (predominantly fish, molluscs and crustaceans) including plants from the oceanic, coastal or inland waters for human consumption and other purposes by hand or more usually by various types of fishing gear such as nets, lines and stationary traps. [Description] Such activities can be conducted on the intertidal shoreline (for example: collection of molluscs such as mussels and oysters) or shore based netting, or from home-made dugouts or more commonly using commercially made boats in inshore, coastal waters or offshore waters. The aquatic resource being captured is usually common property resource irrespective of whether the harvest from this resource is undertaken with or without exploitation rights. Such activities also include fishing restocked water bodies."
AL013,35 = Aquaculture,"The production process involving the culturing or farming (including harvesting) of aquatic organisms (for example: fish, molluscs, crustaceans, plants, crocodiles, alligators or amphibians) using techniques designed to increase the production of the organisms in question beyond the natural capacity of the environment (for example: regular stocking, feeding and protection from predators). [Description] Culturing or farming refers to the rearing of individuals up to their juvenile and/or adult phase under captive conditions. In addition, it also encompasses individual, corporate or state ownership of the individual organisms throughout the rearing or culture stage, up to and including harvesting."
AL013,40 = Mining and Quarrying,"The extraction of minerals occurring naturally as solids (coal and ores), liquids (petroleum) or gases (natural gas). [Description] Extraction can be achieved by different methods (for example: underground or surface mining, well operation, or seabed mining). Includes supplementary activities aimed at preparing the crude materials for marketing (for example: crushing, grinding, cleaning, drying, sorting, concentrating ores, liquefaction of natural gas and agglomeration of solid fuels. These operations are often accomplished at or near the location where the resource is extracted."
AL013,50 = Solid Mineral Fuel Mining,"The extraction of solid mineral fuels (for example: coal or lignite) includes underground or open-cast mining and includes operations (for example: grading, cleaning, compressing and other steps necessary for transportation) leading to a marketable product. [Description] "
AL013,60 = Petroleum and/or Gas Extraction,"The production of crude petroleum, the mining and extraction of oil from oil shale and oil sands and the production of natural gas and recovery of hydrocarbon liquids. [Description] Includes the activities of operating and/or developing oil and gas field properties, for example: drilling, completing and equipping wells; operating separators, emulsion breakers, desilting equipment and field gathering lines for crude petroleum; and all other activities in the preparation of oil and gas up to the point of shipment from the producing property. Also includes the production of oil, the mining and extraction of oil from oil shale and oil sands and the production of gas and hydrocarbon liquids, through gasification, liquefaction and pyrolysis of coal at the mine site."
AL013,70 = Metal Ore Mining,"The mining of metallic minerals (for example: iron, uranium, aluminum, copper, or nickel ore). [Description] Different methods may be employed (for example: underground or open-cast extraction or seabed mining) and ore dressing and beneficiating operations may be required (for example: crushing, grinding, washing, drying, sintering, calcining or leaching ore, gravity separation or flotation operations)."
AL013,83 = Chemical Mining,"The mining and quarrying of chemicals (for example: potassium salts or native sulphur) or mineral fertilizers (for example: guano). [Description] Includes, for example: mining of natural phosphates and natural potassium salts; mining of native sulphur; extraction and preparation of pyrites and pyrrhotite, except roasting; mining of natural barium sulphate and carbonate (barytes and witherite), natural borates, natural magnesium sulphates (kieserite); mining of earth colours, fluorspar and other minerals valued chiefly as a source of chemicals; and guano mining."
AL013,87 = Mineral Mining,"The mining and quarrying of various materials (for example: abrasive materials, asbestos, siliceous fossil meals, natural graphite, steatite (talc), and feldspar) and minerals (for example: gemstones, quartz, or mica) other than those used in construction (for example: sand or stone), the manufacture of materials (for example: clay or gypsum), or the manufacture of chemicals (for example: potassium salts or native sulphur) or mineral fertilizer (for example: guano), or solid mineral fuels (for example: coal, petroleum). [Description] "
AL013,91 = Gas Oil Separation,"The separation of natural gas from crude oil through the extraction of condensates or the draining and separation of liquid hydrocarbon fractions. [Description] "
AL013,95 = Ore Dressing,"The preparation or concentration of ore by treatment or cleaning to concentrate its valuable constituents (minerals) into products (concentrate) of smaller bulk, and simultaneously to collect the worthless material (termed 'gangue') into discardable waste (termed 'tailing'). [Description] The fundamental operations of ore-dressing processes are the breaking apart of the associated constituents of the ore by mechanical means (termed 'severance') and the separation of the severed components (termed 'beneficiation') into concentrate and tailing, using mechanical or physical methods which do not result in substantial chemical changes."
AL013,99 = Manufacturing,"The physical or chemical transformation of materials, substances, or components into new products. [Description] The materials, substances, or components transformed are raw materials that are products of agriculture, forestry, fishing, mining or quarrying as well as products of other manufacturing activities. Substantial alteration, renovation or reconstruction of goods is generally considered to be manufacturing."
AL013,100 = Food Product Manufacture,"The processing of the products of agriculture, forestry and fishing into food for humans or animals, including the production of various intermediate products and byproducts that are not directly food products. [Description] Food products may be of greater or lesser value (for example: hides from slaughtering, or oilcake from oil production)."
AL013,101 = Food Processing,"The processing and preserving of foodstuffs (meat, seafood, fruit and vegetables). [Description] "
AL013,102 = Meat Processing,"The processing and preserving of meat (for example: carcasses, smoked cuts, or sausages) and meat by-products (for example: fats, feathers, or hides). [Description] Includes, for example: operation of slaughterhouses engaged in killing, dressing or packing meat (for example: beef, pork, poultry, lamb, rabbit, mutton, or camel); production of fresh, chilled or frozen meat, in carcasses, cuts or individual portions; production of dried, salted or smoked meat; and the production of meat products (for example: sausages, salami, puddings, 'andouillettes', saveloys, bolognas, pƒt‚s, rillettes, and boiled ham). It also includes, for example, the related activities of: slaughtering and processing of whales on land or on specialized vessels; production of hides and skins originating from slaughterhouses, including fellmongery; rendering of lard and other edible fats of animal origin; processing of animal offal; production of pulled wool; and the production of feathers and down."
AL013,103 = Seafood Processing,"The processing and preserving of fish (for example: herring or salmon), crustaceans (for example: lobster or shrimp) and molluscs (for example: clams or oysters). [Description] Includes, for example: preparation and preservation (for example: by freezing, deep-freezing, drying, smoking, salting, immersing in brine, or canning); production of fish, crustacean and mollusc products (for example: cooked fish, fish fillets, roes, caviar, or caviar substitutes); production of fishmeal for human consumption or animal feed; and the production of meals and solubles from fish and other aquatic animals unfit for human consumption. It also includes, for example, the related activities of: activities of vessels engaged only in the processing and preserving of fish, and the processing of seaweed."
AL013,104 = Fruit and/or Vegetable Processing,"The processing and preserving of fruit (for example: apples or oranges) and vegetables (for example: beans, maize, or potatos). [Description] Includes, for example: manufacture of food consisting chiefly of fruit or vegetables (except ready-made dishes in frozen or canned form); preserving of fruit, nuts or vegetables (for example: by freezing, drying, immersing in oil or in vinegar, or canning); manufacture of fruit or vegetable food products or juices; manufacture of jams, marmalades and table jellies; processing and preserving of potatos (for example: prepared frozen potatos, dehydrated mashed potatos, potato snacks, potato crisps, or potato flour and meal); roasting of nuts; and the manufacture of nut foods and pastes. It also includes, for example, the related activities of: production of concentrates from fresh fruits and vegetables; industrial peeling of potatoes; and the manufacture of perishable prepared foods of fruit and vegetables (for example: salads, peeled or cut vegetables, or tofu)."
